Date : 2026-04-08 00:00:06
Directory : /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller
Total : 132 files,  13172 codes, 1899 comments, 1920 blanks, all 16991 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |        125 |     12,324 |      1,883 |      1,834 |     16,041 |
| Markdown         |          3 |        469 |          0 |         66 |        535 |
| Go Checksum File |          1 |        139 |          0 |          1 |        140 |
| YAML             |          1 |        104 |          0 |          1 |        105 |
| Shell Script     |          1 |         73 |         16 |         13 |        102 |
| Go Module File   |          1 |         63 |          0 |          5 |         68 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |        132 |     13,172 |      1,899 |      1,920 |     16,991 |
| . (Files)                                                                                                                                |          7 |        848 |         16 |         86 |        950 |
| cmd                                                                                                                                      |          7 |        319 |        105 |         62 |        486 |
| cmd/ai-models-artifact-runtime                                                                                                           |          5 |        194 |         75 |         44 |        313 |
| cmd/ai-models-controller                                                                                                                 |          2 |        125 |         30 |         18 |        173 |
| internal                                                                                                                                 |        118 |     12,005 |      1,778 |      1,772 |     15,555 |
| internal/adapters                                                                                                                        |         50 |      4,926 |        750 |        781 |      6,457 |
| internal/adapters/k8s                                                                                                                    |         29 |      2,290 |        435 |        375 |      3,100 |
| internal/adapters/k8s/ociregistry                                                                                                        |          2 |         78 |         30 |         19 |        127 |
| internal/adapters/k8s/ownedresource                                                                                                      |          2 |        167 |         30 |         33 |        230 |
| internal/adapters/k8s/sourceworker                                                                                                       |         10 |      1,052 |        150 |        163 |      1,365 |
| internal/adapters/k8s/uploadsession                                                                                                      |         10 |        786 |        150 |        121 |      1,057 |
| internal/adapters/k8s/workloadpod                                                                                                        |          5 |        207 |         75 |         39 |        321 |
| internal/adapters/modelformat                                                                                                            |          3 |        542 |         45 |         76 |        663 |
| internal/adapters/modelpack                                                                                                              |          2 |        313 |         30 |         58 |        401 |
| internal/adapters/modelpack/kitops                                                                                                       |          2 |        313 |         30 |         58 |        401 |
| internal/adapters/modelprofile                                                                                                           |          6 |        715 |         90 |        105 |        910 |
| internal/adapters/modelprofile/common                                                                                                    |          2 |        144 |         30 |         28 |        202 |
| internal/adapters/modelprofile/gguf                                                                                                      |          2 |        216 |         30 |         28 |        274 |
| internal/adapters/modelprofile/safetensors                                                                                               |          2 |        355 |         30 |         49 |        434 |
| internal/adapters/sourcefetch                                                                                                            |         10 |      1,066 |        150 |        167 |      1,383 |
| internal/application                                                                                                                     |         20 |      2,168 |        300 |        208 |      2,676 |
| internal/application/deletion                                                                                                            |          4 |        343 |         60 |         31 |        434 |
| internal/application/publishobserve                                                                                                      |         10 |      1,241 |        150 |        124 |      1,515 |
| internal/application/publishplan                                                                                                         |          6 |        584 |         90 |         53 |        727 |
| internal/artifactbackend                                                                                                                 |          4 |        198 |         68 |         49 |        315 |
| internal/bootstrap                                                                                                                       |          2 |        180 |         30 |         28 |        238 |
| internal/cmdsupport                                                                                                                      |          1 |        122 |         15 |         24 |        161 |
| internal/controllers                                                                                                                     |         13 |      1,330 |        195 |        229 |      1,754 |
| internal/controllers/catalogcleanup                                                                                                      |          7 |        713 |        105 |        127 |        945 |
| internal/controllers/catalogstatus                                                                                                       |          6 |        617 |         90 |        102 |        809 |
| internal/dataplane                                                                                                                       |          7 |        875 |        105 |        134 |      1,114 |
| internal/dataplane/artifactcleanup                                                                                                       |          2 |         56 |         30 |         14 |        100 |
| internal/dataplane/publishworker                                                                                                         |          3 |        464 |         45 |         62 |        571 |
| internal/dataplane/uploadsession                                                                                                         |          2 |        355 |         30 |         58 |        443 |
| internal/domain                                                                                                                          |          7 |        988 |        105 |         95 |      1,188 |
| internal/domain/publishstate                                                                                                             |          7 |        988 |        105 |         95 |      1,188 |
| internal/ports                                                                                                                           |          5 |        442 |         75 |         63 |        580 |
| internal/ports/modelpack                                                                                                                 |          1 |         26 |         15 |          8 |         49 |
| internal/ports/publishop                                                                                                                 |          4 |        416 |         60 |         55 |        531 |
| internal/publishedsnapshot                                                                                                               |          2 |        172 |         30 |         38 |        240 |
| internal/support                                                                                                                         |          7 |        604 |        105 |        123 |        832 |
| internal/support/cleanuphandle                                                                                                           |          2 |        142 |         30 |         38 |        210 |
| internal/support/modelobject                                                                                                             |          2 |        140 |         30 |         22 |        192 |
| internal/support/resourcenames                                                                                                           |          2 |        228 |         30 |         47 |        305 |
| internal/support/testkit                                                                                                                 |          1 |         94 |         15 |         16 |        125 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                 | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
