Date : 2026-04-05 15:18:59
Directory : /Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller
Total : 98 files,  10220 codes, 1358 comments, 1658 blanks, all 13236 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |         90 |      9,360 |      1,358 |      1,415 |     12,133 |
| Markdown         |          5 |        600 |          0 |        236 |        836 |
| Go Checksum File |          1 |        139 |          0 |          1 |        140 |
| Go Module File   |          1 |         63 |          0 |          5 |         68 |
| YAML             |          1 |         58 |          0 |          1 |         59 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                              |         98 |     10,220 |      1,358 |      1,658 |     13,236 |
| . (Files)                                                                                                                                      |          5 |        786 |          0 |        222 |      1,008 |
| cmd                                                                                                                                            |          2 |        192 |         30 |         28 |        250 |
| cmd/ai-models-controller                                                                                                                       |          2 |        192 |         30 |         28 |        250 |
| internal                                                                                                                                       |         91 |      9,242 |      1,328 |      1,408 |     11,978 |
| internal/adapters                                                                                                                              |         29 |      2,598 |        435 |        409 |      3,442 |
| internal/adapters/k8s                                                                                                                          |         29 |      2,598 |        435 |        409 |      3,442 |
| internal/adapters/k8s/cleanupjob                                                                                                               |          2 |        175 |         30 |         26 |        231 |
| internal/adapters/k8s/ociregistry                                                                                                              |          2 |         78 |         30 |         19 |        127 |
| internal/adapters/k8s/ownedresource                                                                                                            |          2 |        102 |         30 |         20 |        152 |
| internal/adapters/k8s/sourceworker                                                                                                             |         10 |      1,219 |        150 |        179 |      1,548 |
| internal/adapters/k8s/uploadsession                                                                                                            |         11 |        951 |        165 |        149 |      1,265 |
